#separator:tab
#html:false
これほどまずいうなぎ食べたの初めて‌	これほど{まずい;Y2}{うなぎ;0}{[食|た]べ[た=る];Y2}の{[初|はじ]めて;2}‌			So einen schlechten Unagi zu essen, passiert mir zum ersten Mal.  So einen schlechten Unagi habe ich noch nie gegessen.		Expressions	
{[旦那|だんな];0}	{[旦那|だんな];0}が{[借金|しゃっきん];3}{こさえ[て=る];Y0}{そのカタ;4,3}にね		Ehemann			2023-31-08 Samurai Champloo	旦那
{う[りゃ=る];Y2}あ！{[勝|か][たね=つ];Y1}えと{[飯|めし];2}{[抜|ぬ]き;1}だぞ	{う[りゃ=る];Y2}あ！{[勝|か][たね=つ];Y1}えと{[飯|めし];2}{[抜|ぬ]き;1}だぞ		kriegst kein Futter	Wenn du verlierst kannst du auf dein Futter verzichten!		Expression	
{[商売|しょうばい];1}	{[悪|わる]い;Y2}けど{[商売|しょうばい];1}の{[邪魔|じゃま];0}に{なる;Y0}から{[帰|かえ][って=る];Y1}		Geschäft			2023-31-08 Samurai Champloo	商売
{[怪|あや]しい;Y0,3}	あの{[野郎|やろう];0,2}{[全然|ぜんぜん];0}{[女|おんな]っ[気|け];0}ねえから{[怪|あや]しい;Y0,3}と{[思|おも][って=う];Y2}たんだよ		verdächtig dubios			2023-31-08 Samurai Champloo	怪しい
{[胸|むね];2}{ペッタンコ;3,1}のくせに	{[胸|むね];2}{ペッタンコ;3,1}のくせに			du bist ja auch voll die Flachbrust		Expression	
{[着痩|きや]せ;0}	{[私|わたし];0}({わたくし;0}){[着痩|きや]せ;0}する{タイプ;1}なんですの		einen schlank aussehen lassen (Kleidung)			2023-31-08 Samurai Champloo	着痩せ
{[焼|やき]もち;3,4}	（{ムゲン;0}）{[何|なに];!0}だよ{ヤキモチ;3,4}かよ はあ？ {そんな;0}{わけ[ない=る];Y2}でしょ！ {なんで;1}{[私|わたし];0}が{ヤキモチ;3,4}{[焼|や][かなき=く];Y0}ゃなんないのよ		gerösteter Reiskuchen, Eifersucht			2023-31-08 Samurai Champloo	焼もち
{いいん;1}だ{このまま;!4}で	{いいん;1}だ{このまま;!4}で			Es ist ok so. / Es reich so wie es ist. / Lass es uns langsam angehen. / So wie es ist, ist es in Ordnung		Expression	
{[雨|あま]やみ;0,4}そうもないわね{うなぎ[屋|や];0}さん	{[雨|あま]やみ;0,4}そうもないわね{うなぎ[屋|や];0}さん			Der Regen scheint ja gar nicht mehr aufhören zu wollen. Nicht wahr Herr Fischhändler?		Expression	
（{ジン;1}）この{[雨|あめ];1}が{ずっと;!0}...	（{ジン;1}）この{[雨|あめ];1}が{ずっと;!0}{や[まなければ=む];!Y0}{いい;Y1} （[紫乃|しの]）え？ （{ジン;1}）{そう[したら=する];Y3}、 {ずっと;!0}ここにいられる			Wäre es nicht schön, wenn dieser Regen niemals aufhören würde? Hu? Dann könnte ich für immer hier verweilen.		Expression	
{[女郎|じょろう];2}	{[女郎|じょろう];2}の{[身請|みう]け;0}に{いくら;0,1}{かかる;Y2}か{[分|わ]か[って=る];Y2}るの？					2023-31-08 Samurai Champloo	女郎
もう{やめ[よう=る];Y0}よ{こういう;0}の...	もう{やめ[よう=る];Y0}よ{こういう;0}の {あんた;1}の{[気持|きも]ち;0}は{うれしい;Y3}よ {だけど;1}{[夢|ゆめ]み[たい=る];Y3,2}な{[話|はなし];3}だよ			Lass uns langsam aufhören mit diesen Spielchen Deine Gefühle für mich berühren mich sehr Aber es ist doch alles nur Wunschdenken		Expression	
{[客|きゃく];0}から{おひねり;2,0}{もら[っ=う];Y0}...	{[客|きゃく];0}から{おひねり;2,0}{もら[っ=う];Y0}たりしてんだろ？		in Papier eingewickeltes Geld, Trinkgeld	Du hast doch sicher von den Gästen etwas Trinkgeld bekommen oder so		Expression	
{[小花|しょうか];1}さんって{[人|ひと];!0}のとこ？	{[小花|しょうか];1}さんって{[人|ひと];!0}のとこ？			Zu dieser Frau Kohana? Zum Ort des Menschen Frau Kohana		Expression	
{まさか;1}{[本気|ほんき];0}で{ほれ[=る];Y2}...	{まさか;1}{[本気|ほんき];0}で{ほれ[=る];Y2}{ちゃ[った=う];Y1}とか{[言|い]う;Y0}んじゃないでしょうね			Du willst doch nicht allen Ernstes behaupten du seist wirklich in sie verliebt oder so?		Expression	
（{ジン;1}）{あのとき;4,3}{[橋|はし];2}の...	（{ジン;1}）{あのとき;4,3}{[橋|はし];2}の{[上|うえ];0}で （[紫乃|しの]）え？ [本当|ほんとう]は{[死|し]ぬ;Y0}{つもり;0}だったんじゃないのか			Damals auf der Brücke Hu? In Wirklichkeit wolltest du dir doch das Leben nehmen		Expression	
{[長崎|ながさき];2}に{[行|い][けば=く];Y0}{きっと;0}...	{[長崎|ながさき];2}に{[行|い][けば=く];Y0}{きっと;0}{[何|なに];!0}かが{[分|わ]かる;Y2}デショウ {[長崎|ながさき];2}… …とかいう{あいつ;0}の{いいかげん;0,1}な{[情報|じょうほう];0}じゃねえか			Wenn du nach Nagasaki gehst, solltest du bestimmt etwas in Erfahrung bringen können... Nagasaki? ... Oder so ähnlich ist doch die vage Info von diesem Typen/von ihr		Expression	
（{ジン;1}）{しかし;2,1}あの{[男|おとこ];3}{[東|ひがし];0,3}...	（{ジン;1}）{しかし;2,1}あの{[男|おとこ];3}{[東|ひがし];0,3}{インド;1}{[会社|かいしゃ];0}の{[日本|にっぽん];3}{[商館|しょうかん];0}[長|ちょう]だという {それほど;0}{いいかげん;0,1}とも{[思|おも]え[ん=る];Y3}が			Aber dieser Typ war doch der Direktor der East India Handelskooperation. Sooo vage kann die Info nicht sein		Expression	
{やむを[得|え]ない;Y3,4}	{それに;0}ほかの{[情報|じょうほう];0}がないならやむをえない		unvermeidlich unumgänglich nötig notgedrungen es ist nichts zu machen			2023-02-09 Samurai Champloo	やむを得ない
{[記念|きねん];0}すべき	“ここに{[記念|きねん];0}すべき{[第１|だいいち];1}ページを{[記|しる]す;Y0,2}{[私|わたし];0}なのであった”		denkwürdig			2023-02-09 Samurai Champloo	記念すべき
{[記|しる]す;Y0,2}	“ここに{[記念|きねん];0}すべき{[第１|だいいち];1}ページを{[記|しる]す;Y0,2}{[私|わたし];0}なのであった”		niederschreiben, aufzeichnen			2023-02-09 Samurai Champloo	記す
でも、{[話|はな][して=す];Y2}{みる;Y1}...	でも、{[話|はな][して=す];Y2}{みる;Y1}と {[実際|じっさい];0}{そのとおり;3}でした”			Aber... als ich erstmal mit ihm Gesprochen hatte War es genau wie ichs erwartet hatte		Expression	
{[暴|あば]れだす;Y4}	“{[暴|あば]れだ[したら=す];Y4}{[止|と]ま[ん=る];Y0}なくて”		wild werden	wenn er einmal angefangen hat wild zu werden, hörte er gar nicht mehr auf		2023-02-09 Samurai Champloo	暴れだす
{[幾|いく]ら;1}{[何|なに];!0}でも	“{ちょっと;!3}{いくら;0,1}なんでも{やりすぎ[=る];Y4}”		wie man es auch betrachtet	wie man es auch betrachtet, er übertreibt es		2023-02-09 Samurai Champloo	幾ら何でも
{[余|よ][っ=る];Y2}[程|ほど]	“{[暴|あば]れだ[したら=す];Y4}{[止|と]ま[ん=る];Y0}なくて” “{ちょっと;!3}{いくら;0,1}なんでも{やりすぎ[=る];Y4}” これじゃ、[だい|うてな]かの{バカ;1}{[息子|むすこ];0}のほうが “{よっぽど;0}{マシ;0}って{[感|かん]じ;0}”		äußerst, bei weitem, eine Menge, irgendwie	wenn er einmal wild ist, hört er gar nicht mehr auf wie man es auch dreht und wendet, irgendwie übertreibt er es immer Es war als wäre der blöde Sohn vom Daika irgendwie doch die bessere Wahl gewesen		2023-02-09 Samurai Champloo	余っ程
“{さっき;1}のと{[違|ちが][って=う];Y0}...	“{さっき;1}のと{[違|ちが][って=う];Y0}{ちょっと;!3}{いい[男|おとこ];1}かなあなんて”			"Im Vergleich zum anderen Typen, dacht ich ""der ist doch eigentlich ein Guter"""		Expression	
{[似|に][た=る];Y0}よう	“{[結局|けっきょく];0}{[中身|なかみ];2}は[２人|ふたり]とも{[似|に][た=る];Y0}ようなもんなのかしら”		similar to ...	Ob sich die beiden letztendlich im Inneren doch ähnlich sind?		2023-02-09 Samurai Champloo	似たよう
“{さみしい;Y3}なんて{[気持|きも]ち;0}...	“{さみしい;Y3}なんて{[気持|きも]ち;0}に{なる;Y0}{[暇|ひま];0}もなかったから” “{こんな;0}{[気持|きも]ち;0}{[久|ひさ]しぶり;0,5}”			Da mir keine Zeit blieb, von der Einsamkeit eingeholt zu werden, hatte ich dieses Gefühl schon länger nicht mehr		Expression	
“{お[母|かあ]さん;2}に{[手紙|てがみ];0}を{[書|か][きたい=く];Y1}...	“{お[母|かあ]さん;2}に{[手紙|てがみ];0}を{[書|か][きたい=く];Y1}” “{あのとき;4,3}{[言|い][いたくて=う];Y0}{[言|い]え[なかった=る];Y0}{いろんな;0}ことを”			Ich möchte seiner Mutter einen Brief schreiben... Über all das, was ich ihr damals sagen wollte, aber nicht sagen konnte.		Expression	
“{ちょっと;!3}{[人|ひと];!0}を{[信|しん]じ[=る];Y3,0}{すぎ[ん=る];Y2}のかなあ”...	“{ちょっと;!3}{[人|ひと];!0}を{[信|しん]じ[=る];Y3,0}{すぎ[ん=る];Y2}のかなあ” “{もっと;1}{[人|ひと];!0}を{[疑|うたが][った=う];Y0}ほうが{いい;Y1}のかな” “{[人|ひと];!0}を{[見|み]る[目|め];1}がないのかな”		疑う　zweifeln, verdächtigen  見る目　Menschenkenntnis	Vielleicht bin ich etwas zu leichtgläubig.. Vielleicht wäre es besser, ich würde andere mehr hinterfragen.. Ob ich wohl keine Menschenkenntnisse habe?		Expression	
{ひょっと;0}して	“{ひょっと;0}して{[私|わたし];0}{[嫌|きら]われ[て=る];Y0}る？		durch Zufall, durch einen glücklichen Umstand by any chance, it happen (that)	kann es sein, dass er mich hasst? hasst er mich aus irgendeinem Grund?		2023-02-09 Samurai Champloo	ひょっとして
{[一期一会|いちごいちえ];5}	（{[瑞光|ずいこう];0}）{すべて;1}の{[出会|であ]い;0}は{[一期一会|いちごいちえ];5}		eine einmalige Gelegenheit im Leben			2023-02-09 Samurai Champloo	一期一会
{ちょっくら;3}{[出|で]かけ[て=る];Y0}くらあ	（{ムゲン;0}）{ちょっくら;3}{[出|で]かけ[て=る];Y0}くらあ		kurz, bisschen, ein wenig	Ich bin mal kurz weg		Expression	
{[欠|か]け;0}がえのない	“{かけがえ;0}のない{[出会|であ]い;0}だったのかな”		unersetzlichunersetzbar			2023-02-09 Samurai Champloo	欠けがえのない
いつまで{[経|た][って=つ];Y1}も	いつまで{[経|た][って=つ];Y1}も{[僕|ぼく];1,0}はここで{[歌|うた][って=う];Y0}いるよ1:05 {[/|ばつ];0} 6:10		für immer,     ewig,     so lange man möchte,  no matter how much time passes			2023-02-09 Samurai Champloo	いつまで経っても
